,Unnamed: 0.2,Tweets,Fecha,urls,urls_reales,medios,Tweets_sin_url,cluster,RT
14,81751,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/IP8q7oz5wC",Wed Aug 21 14:43:06 +0000 2019,https://t.co/IP8q7oz5wC,https://www.infoveloz.com/post/la-extrana-comparacion-de-un-economista-de-alberto-fernandez-la-deuda-es-como-la-falopa-al-principio-rica-y-despues-te-mata_190340,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” ",True,False
15,81818,"""El problema es que la deuda es como la falopa, al principio es rica, pero después te mata. Ese es el problema"", sostuvo Emmanuel Álvarez Agis economista de Alberto Fernández. Todes chorros y drogones",Wed Aug 21 14:52:58 +0000 2019,0,0,False,"""El problema es que la deuda es como la falopa, al principio es rica, pero después te mata. Ese es el problema"", sostuvo Emmanuel Álvarez Agis economista de Alberto Fernández. Todes chorros y drogones",True,False
16,81827,"Para un economista de Alberto Fernández, “la deuda es como la falopa”... https://t.co/Fxe2gfxNJf",Wed Aug 21 14:56:01 +0000 2019,https://t.co/Fxe2gfxNJf,http://isb.gs/TlP3Ai,False,"Para un economista de Alberto Fernández, “la deuda es como la falopa”... ",True,False
17,81861,"Para un economista de Alberto Fernández, “la deuda es como la falopa” https://t.co/00kF4PykOy https://t.co/NWTCpz5mXQ",Wed Aug 21 15:01:09 +0000 2019,https://t.co/00kF4PykOy,http://dlvr.it/RBcyXn,False,"Para un economista de Alberto Fernández, “la deuda es como la falopa”  https://t.co/NWTCpz5mXQ",True,False
18,81881,"Finoli-Finoli 😎

Para un economista de Alberto Fernández, ""la deuda es como la falopa"" - https://t.co/Mndb99FZbi",Wed Aug 21 15:05:32 +0000 2019,https://t.co/Mndb99FZbi,http://bit.ly/2MuK5dD?fromRef=twitter,False,"Finoli-Finoli 😎

Para un economista de Alberto Fernández, ""la deuda es como la falopa"" - ",True,False
19,81904,"La particular comparación de uno de los asesores de Alberto Fernández, el economista Emmanuel Álvarez Agis.

""El problema es que la deuda es como la falopa; al principio es rica, pero después te mata""

Fuente: @A24COM https://t.co/M3PNgwua1v",Wed Aug 21 15:09:43 +0000 2019,0,0,False,"La particular comparación de uno de los asesores de Alberto Fernández, el economista Emmanuel Álvarez Agis.

""El problema es que la deuda es como la falopa; al principio es rica, pero después te mata""

Fuente: @A24COM https://t.co/M3PNgwua1v",True,False
20,81928,"“La deuda es como la falopa: al principio es rica pero después te mata”, aseguró un economista de Alberto Fernández https://t.co/yYSYRyNeUR",Wed Aug 21 15:13:58 +0000 2019,https://t.co/yYSYRyNeUR,https://telefenoticias.com.ar/politica/la-deuda-es-como-la-falopa-al-principio-es-rica-pero-despues-te-mata-aseguro-un-economista-de-alberto-fernandez/,False,"“La deuda es como la falopa: al principio es rica pero después te mata”, aseguró un economista de Alberto Fernández ",True,False
21,81940,"Para un economista de Alberto Fernández, “la deuda es como la falopa” – @pxqconsultora NCN https://t.co/Sr6oZBzThn https://t.co/NsrgA1iByK",Wed Aug 21 15:20:04 +0000 2019,https://t.co/Sr6oZBzThn,http://ow.ly/60Qo30popV0,False,"Para un economista de Alberto Fernández, “la deuda es como la falopa” – @pxqconsultora NCN  https://t.co/NsrgA1iByK",True,False
22,82032,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata” https://t.co/2TaDhJ685D https://t.co/XTLD6d0n75",Wed Aug 21 15:40:52 +0000 2019,https://t.co/2TaDhJ685D,https://bit.ly/2L3s6YP,False,"La extraña comparación de un economista de Alberto Fernández: “La deuda es como la falopa, al principio rica y después te mata”  https://t.co/XTLD6d0n75",True,False
23,82101,"Ahora si...
Un economista de Alberto Fernández comparó la ""deuda"" con la ""falopa"" y se arrepintió https://t.co/h3wWEErbqB vía @todonoticias",Wed Aug 21 15:55:24 +0000 2019,https://t.co/h3wWEErbqB,https://tn.com.ar/politica/emmanuel-alvarez-agis-la-deuda-es-como-la-falopa-al-principio-es-rica-pero-despues-te-mata_988076,False,"Ahora si...
Un economista de Alberto Fernández comparó la ""deuda"" con la ""falopa"" y se arrepintió  vía @todonoticias",True,False
24,82148,@martintetaz Martín la deuda es como la falopa. Es lo que se viene. !!https://t.co/H4wCTDXuWk,Wed Aug 21 16:08:38 +0000 2019,https://t.co/H4wCTDXuWk,https://www.clarin.com/politica/economista-alberto-fernandez-deuda-falopa-_0_cvVRU8A6m.html,False,@martintetaz Martín la deuda es como la falopa. Es lo que se viene. !!,True,False
25,82259,"“El problema es que la deuda es como la falopa, al principio es rica, pero después te mata"" (Emmanuel Alvarez Agis, integrante del equipo económico de Alberto ""títere"" Fernández)
Todo un académico el Chabón!!!
#ElPasadoNoVuelve",Wed Aug 21 16:38:23 +0000 2019,0,0,False,"“El problema es que la deuda es como la falopa, al principio es rica, pero después te mata"" (Emmanuel Alvarez Agis, integrante del equipo económico de Alberto ""títere"" Fernández)
Todo un académico el Chabón!!!
#ElPasadoNoVuelve",True,False
