,Unnamed: 0,Tweets,Fecha,urls,medios,link_nacionales
9061009,2380373,"Tranca el gran daño argentino

https://t.co/vvOOl7rz6e https://t.co/76nPWg1zzF",Thu Mar 28 01:58:41 +0000 2019,https://www.clarin.com/politica/marcos-pena-dijo-saliendo-crisis-peronismo-acuso-bajar-ovni_0_dOVj39bV0.html,False,True
9080048,2399412,El kirchnerismo pidió suspender a Stornelli tras ser declarado en rebeldía por Ramos Padilla https://t.co/7lDajYgoJX,Thu Mar 28 08:49:45 +0000 2019,https://tn.com.ar/politica/el-kirchnerismo-pidio-suspender-stornelli-tras-ser-declarado-en-rebeldia-por-ramos-padilla_950951,False,True
9080340,2399704,"En un áspero paso por el Senado, Peña insistió: “Estamos saliendo” https://t.co/paPv3dtlGw",Thu Mar 28 09:03:22 +0000 2019,https://www.clarin.com/politica/marcos-pena-dijo-saliendo-crisis-peronismo-acuso-bajar-ovni_0_dOVj39bV0.html,False,True
9080949,2400313,Las monedas de emergentes caen y la cotización del dólar mayorista pasó los $43 al inicio de la rueda cambiaria. https://t.co/JghXZT8zVw,Thu Mar 28 09:35:56 +0000 2019,https://radiomitre.cienradios.com/dolar-se-acerca-45-bancos-los-paises-emergentes-golpean-nuevamente-argentina/,False,True
9081356,2400720,El dólar quedó a un paso de los 45 pesos y marcó un nuevo máximo histórico https://t.co/8iO6Drvgk4,Thu Mar 28 09:52:28 +0000 2019,https://www.elciudadanoweb.com/el-dolar-quedo-a-un-paso-de-los-45-pesos-y-marco-un-nuevo-maximo-historico/,False,True
9081914,2401278,https://t.co/GmWUsVdbUz Vos lees este articulo que te agarra un ACV...Que espanto!!! @mauriciopenaok @mauriciomacri… https://t.co/hDKSvpgTAt,Thu Mar 28 10:20:43 +0000 2019,https://tn.com.ar/economia/tras-el-nuevo-alza-del-dolar-cuales-son-los-aumentos-de-precios-para-las-proximas-semanas_951009,False,True
9083163,2402527,El kirchnerismo le pidió al procurador de la Nación la suspensión del fiscal Carlos Stornelli https://t.co/sXApiuEnzx,Thu Mar 28 10:52:08 +0000 2019,https://www.infobae.com/politica/2019/03/27/el-kirchnerismo-le-pidio-al-procurador-bonaerense-la-suspension-del-fiscal-carlos-stornelli/,False,True
9084271,2403635,Miguel Jorquera https://t.co/P8l1AfTS9B,Thu Mar 28 11:15:05 +0000 2019,https://www.pagina12.com.ar/183666-marcos-pena-paso-por-el-senado-en-modo-electoral,False,True
9084351,2403715,El dólar quedó a un paso de los 45 pesos y marcó un nuevo máximo histórico https://t.co/tFGQeVu2VP,Thu Mar 28 11:19:33 +0000 2019,https://www.elciudadanoweb.com/el-dolar-quedo-a-un-paso-de-los-45-pesos-y-marco-un-nuevo-maximo-historico/,False,True
9085416,2404780,"En un áspero paso por el Senado, Marcos Peña insistió: “estamos saliendo de la crisis” https://t.co/qzBrTmUCg2",Thu Mar 28 11:40:10 +0000 2019,https://opisantacruz.com.ar/2019/03/28/en-un-aspero-paso-por-el-senado-marcos-pena-insistio-estamos-saliendo-de-la-crisis/,False,True
9085690,2405054,"En un áspero paso por el Senado, Marcos Peña insistió: ""estamos saliendo de la crisis"" https://t.co/WbPYYnh5Dm https://t.co/vjl7tUzax3",Thu Mar 28 11:45:59 +0000 2019,https://www.clarin.com/politica/marcos-pena-dijo-saliendo-crisis-peronismo-acuso-bajar-ovni_0_dOVj39bV0.html,False,True
9097860,2417224,"Gracias.
Paso. 
🤦‍♀️
https://t.co/SBjg5kNGRd",Thu Mar 28 15:01:44 +0000 2019,https://www.lanacion.com.ar/politica/intelectuales-k-nace-competencia-carta-abierta-nuevos-nid2232706,False,True
9103283,2422647,"Evitando hablar de la suba del dólar, Marcos Peña volvió a echarle la culpa a los ""70 años de fracasos"".👹 https://t.co/ALFDhbtU3Y",Thu Mar 28 16:07:21 +0000 2019,https://www.pagina12.com.ar/183666-marcos-pena-paso-por-el-senado-en-modo-electoral,False,True
9112026,2431390,Marcelo Tinelli se reunió con el cordobés Juan Schiaretti en otro gesto político al peronismo federal https://t.co/OYB9pgYAOp,Thu Mar 28 17:57:52 +0000 2019,https://www.infobae.com/politica/2019/03/28/marcelo-tinelli-se-reunio-con-el-cordobes-schiaretti-en-otro-gesto-politico-al-peronismo-federal/,False,True
9112790,2432154,Marcelo Tinelli se reunió con el cordobés Juan Schiaretti en otro gesto político al peronismo federal https://t.co/tRSPoOIp4r,Thu Mar 28 18:09:50 +0000 2019,https://www.infobae.com/politica/2019/03/28/marcelo-tinelli-se-reunio-con-el-cordobes-schiaretti-en-otro-gesto-politico-al-peronismo-federal/,False,True
9117835,2437199,https://t.co/z9oMkDdZAG Se acuerdan que el presidente pidio que lo evaluemos por su gestión sobre este tema. Aplaza… https://t.co/vR9OhaBUOa,Thu Mar 28 19:17:17 +0000 2019,https://www.clarin.com/economia/economia/pobreza-crecio-32-alcanza-12-950-000-personas_0_-uW8o1_TJ.html,False,True
9124059,2443423,"https://t.co/PxaaKj1tdL
DETESTAR con el alma a CFK y su banda de ladrones no me impiden decir que estos terminaron… https://t.co/bRSz9SfeLD",Thu Mar 28 20:41:02 +0000 2019,https://www.lanacion.com.ar/economia/pobreza-indec-2018-nid2233000,False,True
9127984,2447348,"IM PRE SIO NAN TE !...
Permite entender lo que pasó en otros casos.
https://t.co/nktF8VulvL",Thu Mar 28 21:33:27 +0000 2019,https://www.pagina12.com.ar/183511-otra-denuncia-del-mismo-entramado,False,True
9128155,2447519,San Juan ya palpita las PASO en la que Uñac busca sacar chapa para posicionarse a nivel nacional #EleccionesSanJuan https://t.co/V6wUx94Dgs,Thu Mar 28 21:31:40 +0000 2019,https://tn.com.ar/politica/san-juan-ya-palpita-las-paso-en-la-que-unac-busca-sacar-chapa-para-posicionarse-nivel-nacional_951046,True,True
9128220,2447584,San Juan ya palpita las PASO en la que Uñac busca sacar chapa para posicionarse a nivel nacional  https://t.co/V6wUx94Dgs,Thu Mar 28 21:30:51 +0000 2019,https://tn.com.ar/politica/san-juan-ya-palpita-las-paso-en-la-que-unac-busca-sacar-chapa-para-posicionarse-nivel-nacional_951046,True,True
9128883,2448247,Marcelo Tinelli se reunió con el cordobés Juan Schiaretti en otro gesto político al peronismo federal https://t.co/um50OoTqiv,Thu Mar 28 21:35:46 +0000 2019,https://www.infobae.com/politica/2019/03/28/marcelo-tinelli-se-reunio-con-el-cordobes-schiaretti-en-otro-gesto-politico-al-peronismo-federal/,False,True
9137750,2457114,Son cuatro sondeos nacionales y dos en provincia. Los miden juntos en una PASO y por separado para primera vuelta. https://t.co/1Dj7Cx8dQD,Thu Mar 28 23:21:35 +0000 2019,https://www.clarin.com/politica/encuestas-dato-clave-pelea-roberto-lavagna-sergio-massa-juan-manuel-urtubey_0_j_NngPVeU.html,False,True
9144222,2463586,San Juan ya palpita las PASO en las que Uñac busca sacar chapa para posicionarse a nivel nacional https://t.co/Lc2eITcSQk vía @todonoticias,Fri Mar 29 00:35:52 +0000 2019,https://tn.com.ar/politica/san-juan-ya-palpita-las-paso-en-la-que-unac-busca-sacar-chapa-para-posicionarse-nivel-nacional_951046,False,True
9145636,2465000,"#EleccionesEnChubut Di Pierro: “Al peronismo lo llevamos en el corazón, no en el bolsillo” https://t.co/ueWjbYKTpG",Fri Mar 29 00:50:05 +0000 2019,https://elcomodorense.net/di-pierro-al-peronismo-lo-llevamos-en-el-corazon-no-en-el-bolsillo/,False,True
9149971,2469335,"@mauriciomacri Diario La Nación hoy nos cuenta los logros del Presidente
https://t.co/ckOJemSqfW",Fri Mar 29 01:39:28 +0000 2019,https://www.lanacion.com.ar/economia/pobreza-indec-2018-nid2233000,False,True
9155644,2475008,"Di Pierro: “Al peronismo lo llevamos en el corazón, no en el bolsillo” https://t.co/SrC93Jfzst",Fri Mar 29 02:50:18 +0000 2019,https://elcomodorense.net/di-pierro-al-peronismo-lo-llevamos-en-el-corazon-no-en-el-bolsillo/,False,True
9160203,2479567,"los peronismos...

https://t.co/onR10HujrT",Fri Mar 29 03:38:46 +0000 2019,https://www.clarin.com/politica/ofensiva-peronismo-diputados-buscan-sesionar-ganancias-jubilados-tarifas-frenar-despidos_0_guPI5NI__.html,False,True
9169170,2488534,"Unido, el peronismo quiere tratar desde la exención de Ganancias a jubilados hasta limites a las tarifas. https://t.co/dqZrdD8z91",Fri Mar 29 07:40:55 +0000 2019,https://www.clarin.com/politica/ofensiva-peronismo-diputados-buscan-sesionar-ganancias-jubilados-tarifas-frenar-despidos_0_guPI5NI__.html,False,True
9172351,2491715,San Juan va a las PASO el próximo domingo sin disputa por las candidaturas a la gobernación https://t.co/T0YPOEcOTE https://t.co/3ANjJ3WPDs,Fri Mar 29 10:20:03 +0000 2019,https://www.telam.com.ar/notas/201903/344958-san-juan-elecciones-2019-paso-candidaturas.html,False,True
9172487,2491851,"Pero no era que ahora se medía bien?@mauriciomacri
@marquitospena
@NicoDujovne
https://t.co/mjOUAaeJ0C Leído en Dia… https://t.co/Nh1aGvyM9o",Fri Mar 29 10:27:59 +0000 2019,https://www.infobae.com/economia/2019/03/29/el-drama-social-es-aun-peor-que-lo-que-muestra-el-indec/,False,True
