,Tweets,Fecha,urls,medios
1104,"Me liquidaron mal el sueldo y paso un mes y medio, esos mil pesos que me deben se desvalorizaron terriblemente, cap… https://t.co/0rVWOZCZu8",Sat Mar 30 04:08:00 +0000 2019,https://twitter.com/i/web/status/1111842485033152513,False
3881,"@leosarro @fritopendej Cuando los empleados mandan más que el que pone el capital, estamos a un paso del colapso total.",Sat Mar 30 05:18:24 +0000 2019,,False
9562,@diebamu El tema era que los que bajaban de los barcos tenían trabajo. Se ve que nunca pasó necesidad o es un hijo de puta.,Sat Mar 30 11:13:50 +0000 2019,,False
10193,"@Powerfrio @LaMamert4 ¿Que paso, que paso, que pasai? No todos los abogados somos ladrones",Sat Mar 30 11:47:08 +0000 2019,,False
12309,"@milanesitaz Me pasó igual hace unos años. Laburaba en negro, cobraba por semana. Pedí aumento y DESPUÉS DE PENSARL… https://t.co/Sx8h8p8G36",Sat Mar 30 13:03:05 +0000 2019,https://twitter.com/i/web/status/1111977144425611264,False
19504,"Y como todos los viernes q viene al medio día porque algo extra ordinario le paso, necesitaba plata. Me rompe el co… https://t.co/2Z5TofTtgh",Sat Mar 30 15:59:24 +0000 2019,https://twitter.com/i/web/status/1112021516072505344,False
21072,@carolmisato @GobAtizapan Que pasó? Necesitan algo?  Igual por se viernes de quincena tenían mucho trabajo 🤔,Sat Mar 30 16:31:24 +0000 2019,,False
22645,@prdsyug @DescuentosRata Lo mismo me pasó,Sat Mar 30 16:57:38 +0000 2019,,False
22757,Pinche Skyler le roba todo el dinero a Walt y se hace la victima por lo que le paso a Ted #fuckingbitch,Sat Mar 30 17:04:02 +0000 2019,,False
29990,@MatPooli0 ya paso y me sale re caro porque no vivo en capital,Sat Mar 30 19:36:03 +0000 2019,,False
31904,"@GilmaGCamargo Pero allá todos pagan impuestos, acá solo un segmento de la población pagamos y dicho sea de paso no… https://t.co/LhCRChjNIn",Sat Mar 30 20:21:51 +0000 2019,https://twitter.com/i/web/status/1112087561915244546,False
32515,@Johanocantol Y de paso era su jefe.,Sat Mar 30 20:32:31 +0000 2019,,False
34197,"@Claudioalpizar @MichaelSoto_CR Don Michael Soto pasó de ser un policía Judicial,  a un político PAC acomodado, demagógico e ineficiente.",Sat Mar 30 21:16:26 +0000 2019,,False
42380,"#L6Nwyoming
Pero si el primer defraudado eres tu
Condenado por ello
Como los socialistas
Se te pasó pagar
En una empresa..",Sat Mar 30 23:53:50 +0000 2019,,False
51390,@Aleh_Pacheco Me pasó en mi ex trabajo! Me descontaron renta y no pagaron vv,Sun Mar 31 03:02:50 +0000 2019,,False
61756,Cómo me dolió pagar ese uber que en un segundo paso de 150 a $350 💔,Sun Mar 31 08:57:21 +0000 2019,,False
69385,@RennisMarta Que paso con edson? Veo que le están tirando duro,Sun Mar 31 14:32:37 +0000 2019,,False
73673,Ahora qué mierda paso con Jarlan? Nosotros solos vivimos regalando sueldos,Sun Mar 31 15:59:04 +0000 2019,,False
83458,Que gran paso para la dignificación de un oficio que por años fue inviable a las autoridades.  #TrabajadorasDelHogar https://t.co/u3rgqkbYuY,Sun Mar 31 19:06:56 +0000 2019,https://twitter.com/napoleongomezur/status/1112411278562095105,False
84054,@milco40xxx El único mas o menos que funcionaba así era ese lástima la desgracia que le pasó al dueño de este sitio que acabó con el negocio,Sun Mar 31 19:19:46 +0000 2019,,False
84089,@julicavallo2407 Y de paso hacemos el trabajo de minzi,Sun Mar 31 19:19:14 +0000 2019,,False
86241,@proargentina El único cambio es que mi sueldo pasó a valer el 50%.   Y los impuestos se fueron a las nubes. .. oja… https://t.co/iPDZ6NvrtI,Sun Mar 31 20:02:08 +0000 2019,https://twitter.com/i/web/status/1112444991387979776,False
86555,@ElDeadpulques De hecho el que debe pagar es la moto por qué se pasó el alto,Sun Mar 31 20:04:59 +0000 2019,,False
86927,@sfrankieg Yo progongo que pienses lo que dices. ¿De paso dinos para quién trabajas? ¿Quién te paga? Yo demando que… https://t.co/V9C5TebgwQ,Sun Mar 31 20:12:10 +0000 2019,https://twitter.com/i/web/status/1112447513741668353,False
86965,"@GobCDMX Se las paso al costo, en la Seguridad Pública existen grandes riesgos posibles de actos de corrupción.",Sun Mar 31 20:11:35 +0000 2019,,False
91958,@JmNunezSilveira Paso tanto tiempo y seguimos engañado por el gobierno,Sun Mar 31 21:48:46 +0000 2019,,False
109397,@MatuK58 pero la deuda más real se hace presente en cada muerte a cada paso que uno daaa,Mon Apr 01 02:38:34 +0000 2019,,False
109818,Pasò #Sendic y dijo que si tú empresa monopòlica da ganancias es porque cobrás muy caro. Es decir hay que cobrar mu… https://t.co/vTDs2g8g8I,Mon Apr 01 02:49:44 +0000 2019,https://twitter.com/i/web/status/1112547567261442053,False
110323,@KikeBravoPrado Para comenzar.... nunca pasó de 30%. Billetera mata ética...,Mon Apr 01 02:54:09 +0000 2019,,False
114531,CRISIS | ¿Cuánto cayó tu salario desde que gobierna Macri? https://t.co/kGE9k45ih7,Fri Mar 01 05:26:32 +0000 2019,https://www.eldestapeweb.com/crisis-economica-los-salarios-sufrieron-la-peor-caida-la-megacrisis-2002-n56716,False
116916,"Vos Pichetto esforzaré por ganar tu sueldo con dignidad,deja de proteger a los ladrones ,corruptos y asesinos ,por… https://t.co/NFgI1sNJ4t",Fri Mar 01 09:42:30 +0000 2019,https://twitter.com/i/web/status/1101417416482045955,False
117095,Otros a los que no les importa cobrar un buen sueldo de un país que les roba y de unas bestias con un bache en el A… https://t.co/lObyDa1DX8,Fri Mar 01 09:52:20 +0000 2019,https://twitter.com/i/web/status/1101419891008196608,False
119918,"En la ciudad más cara del país, las tarifas son impagables. Las empresas cada vez más beneficiadZ por… https://t.co/GrTEoh6Bhh",Fri Mar 01 11:50:22 +0000 2019,https://twitter.com/i/web/status/1101449597082370049,False
120351,"@moxstro este macri todo lo arruina, todo, no es facil el amor con un dólar a 40",Fri Mar 01 12:02:48 +0000 2019,,False
120512,"@MonicaF71577928 Por qué te defraudó si es el mismo Macri que dijo ""Hay que bajar los costos, y los salarios son un… https://t.co/fuvoifa0Kt",Fri Mar 01 12:05:42 +0000 2019,https://twitter.com/i/web/status/1101453454768259075,False
120637,@__Florentino Negocio rentable che quien gana en 5 horas de laburo mas de 3600 en la argentina de macri.,Fri Mar 01 12:11:29 +0000 2019,,False
120703,@rialjorge Como vos  Parte de los que cobran de CFK,Fri Mar 01 12:09:49 +0000 2019,,False
