,Tweets,Fecha,urls,medios
73673,Ahora qué mierda paso con Jarlan? Nosotros solos vivimos regalando sueldos,Sun Mar 31 15:59:04 +0000 2019,,False
109818,Pasò #Sendic y dijo que si tú empresa monopòlica da ganancias es porque cobrás muy caro. Es decir hay que cobrar mu… https://t.co/vTDs2g8g8I,Mon Apr 01 02:49:44 +0000 2019,https://twitter.com/i/web/status/1112547567261442053,False
117095,Otros a los que no les importa cobrar un buen sueldo de un país que les roba y de unas bestias con un bache en el A… https://t.co/lObyDa1DX8,Fri Mar 01 09:52:20 +0000 2019,https://twitter.com/i/web/status/1101419891008196608,False
120703,@rialjorge Como vos  Parte de los que cobran de CFK,Fri Mar 01 12:09:49 +0000 2019,,False
124565,"@CFKArgentina Todo se paga cristi, tarde o temprano. Personajes oscuros si los hay...",Fri Mar 01 13:41:32 +0000 2019,,False
138972,"Se que no estamos bien, impuestos altos y sueldos bajos, pero después de ver la actitud peroncha-kirchner-troska má… https://t.co/sFO4rMCxc4",Fri Mar 01 16:15:05 +0000 2019,https://twitter.com/i/web/status/1101516214034153477,False
146514,"Amo que macri diga ""por lo que trabajamos"", si el infeliz nunca trabajo en su vida",Fri Mar 01 18:37:49 +0000 2019,,False
147253,"@agencialavieja Alfredo querido, no hay una te te venga bien, con el mal gobierno de Macri y tu rechazo a los K este es un gran negocio",Fri Mar 01 18:54:56 +0000 2019,,False
150012,"@GiselZat El problema es que con Macri tenemos cada vez menos derechos laborales. Precarización laboral, desempleo, etc.",Fri Mar 01 20:14:03 +0000 2019,,False
154297,@Cronistacom Ah cierto que Macri prometió sacar ganancias y lejos de eso mas.gente paga el impuesto al sueldo. @mauriciomacri,Fri Mar 01 21:36:14 +0000 2019,,False
155878,Paja trabajar el día de cumpleaños. Todo por ser pobre. Maldito Macri,Fri Mar 01 22:17:42 +0000 2019,,False
157182,@Cronistacom Ganancias? Le roban a los trabajadores! Que pague macri y sus secuaces y los juecez! Deje a los trabajdores tranquilos...,Fri Mar 01 22:41:58 +0000 2019,,False
158713,"#Presimiente
#HayOtroCamino
#1M  

No es un fantasia ganar un buen sueldo, es algo muy justo. Macri te rebajo el sueldo.",Fri Mar 01 23:13:55 +0000 2019,,False
160048,"Porque les pagaban y los obligaban los sindicatos
La diferencia es que los del otro lado de la grieta de los delinc… https://t.co/WxrBM0cEvx",Fri Mar 01 23:38:11 +0000 2019,https://twitter.com/i/web/status/1101627722818875393,False
162211,Kirchneristas a los gritos en el Congreso: Pandilla de forajidos trabajando gratis para la campaña presidencial de Macri.,Sat Mar 02 00:23:24 +0000 2019,,False
166068,@Intratablestv Para el Macrismo los trabajadores somos un costo. Y  quieren pagarnos lo menos posible. Sociedad mis… https://t.co/8Jm3MAkZ3Z,Sat Mar 02 01:54:14 +0000 2019,https://twitter.com/i/web/status/1101661961798987776,False
170731,"@animalesoficial En campaña Macri dijo que tenemos los impuestos mas caros del mundo, y no paran de subirlos",Sat Mar 02 03:34:19 +0000 2019,,False
171362,@FerRaverta @CFKArgentina Dirás se le pagaba a esa gente.... digamos todo! Ahora ese dinero se usa para obras!,Sat Mar 02 03:51:31 +0000 2019,,False
174121,Por culpa de Macri y su manera de sacar adelante al país voy a tener que empezar a robar ahre,Sat Mar 02 06:18:25 +0000 2019,,False
175035,"@Andres_Reig Al final el estado tendrá que cubrir las necesidades,a un precio mucho mayor y pedirá a esos mismos trabajadores más impuestos.",Sat Mar 02 07:50:06 +0000 2019,,False
175049,@Andres_Reig Afecta a trabajadores más pobres y a familias contratantes más pobres.El resto ya pagaba y cobraba más.,Sat Mar 02 07:48:39 +0000 2019,,False
178955,"@veroloren Yo también pero todo comenzó con CFK, su inflación,el cepo y los ""independientes"" que nos quedamos sin trabajo pues sela llevaban",Sat Mar 02 11:37:40 +0000 2019,,False
179826,"@alicfk @luzzmar170 Era lo que quería: bajar el ""costo laboral"" como llamó a los sueldos. ""Menos para ti, más para… https://t.co/WXmUM2tsvM",Sat Mar 02 12:06:20 +0000 2019,https://twitter.com/i/web/status/1101816004496236544,False
181587,"¿desde cuándo no paga por el servicio eléctrico? o ¿Cuánto?
Sepa que al salir de la pesadilla del ChAbismo, Ud. deb… https://t.co/VJJ8D93nWk",Sat Mar 02 12:49:31 +0000 2019,https://twitter.com/i/web/status/1101826872076353536,False
187495,"Sus fantasías de MACRI   dijo creamos 7000 empleos pero hay  cada ves mas despedidos y desempleados
 2014 sueldo 30… https://t.co/HDWhjUVBUe",Sat Mar 02 15:09:14 +0000 2019,https://twitter.com/i/web/status/1101862033090379777,False
192042,@FerRaverta @CFKArgentina X que la gente normal trabaja todo el día. Ustedes no. Y si te llevan y te pagan.. Como hacían ustedes!,Sat Mar 02 16:49:16 +0000 2019,,False
192717,"Parece que el extorsionadores, delincuentes y corruptos del Fiscal Stornelli y Juez Bonadio le daban ""comisiones ta… https://t.co/J1dRltsD43",Sat Mar 02 17:10:14 +0000 2019,https://twitter.com/i/web/status/1101892482646884354,False
194491,"@FerRaverta @CFKArgentina Ridícula,se llenaba de gente paga...Por bancar parásitos como vos estamos hechos mierda...",Sat Mar 02 17:49:25 +0000 2019,,False
