Tweets,Fecha,urls,medios
"Pobre piba, yo la vivo juzgando y se la paso cosas horribles, por favor nunca hagan sentir mal a una persona, no sean tan basuras.",Sat Mar 30 03:40:08 +0000 2019,,False
"Yo sé cómo paso
Esa distancia que teníamos
Lentamente estaba matándonos
Si hay un culpable aquí, somos los 2
Pero ella no 🎶🎶",Sat Mar 30 03:55:48 +0000 2019,,False
"Y si creo que está muy mal lo que pasó pero ptm no voy a tomar un lado por qué ambos lados están muy mal, solo ya no estén juntos y ya",Sat Mar 30 05:32:01 +0000 2019,,False
No entiendo porque después de tanto tiempo algunos siguen resentidos x algo que pasó hace más de 500 años??? Exigiendo disculpas!!!,Sat Mar 30 07:35:52 +0000 2019,,False
"A los que ayer me vieron lo que hice y lo que pasó, les pido perdón de verdad.",Sat Mar 30 09:32:49 +0000 2019,,False
"ademas lo peor que después de eso se siguieron viendo y tuvieron algo, la verdad la amistad que teníamos se la paso por el culo",Sat Mar 30 13:53:13 +0000 2019,,False
"Yo sé cómo pasó, esa distancia que teníamos lentamente estaba matándonos, si hay un culpable aquí somos los dos pero ella no. 🎤",Sat Mar 30 14:09:11 +0000 2019,,False
@mychaveta Yo tampoco. Pero cuando me cuentan xq se separaron... Pasaron cosas graves jaja. Del amor al odio hay un solo paso dicen.,Sat Mar 30 14:15:18 +0000 2019,,False
"que feo es que se ""enojen"" con vos y no saber porque, osea tanto te cuesta decirme que pasó?",Sat Mar 30 15:43:45 +0000 2019,,False
@MMarMarcos ME PASÓ LO MISMO. 60 fotos tuyas sufriendo mientras estudiabamos. Si esto no es amistad entonces no sé.,Sat Mar 30 16:06:29 +0000 2019,,False
Nunca les pasó que de lo enojados que estaban sentían que se les iba a reventar algo por dentro? Sí es normal no?,Sat Mar 30 16:16:47 +0000 2019,,False
"Sólo espero que el paso del tiempo ponga a cada uno en su sitio, sobre todo a los que han sembrado el #odio en las… https://t.co/EOL6qxuU6e",Sat Mar 30 16:23:56 +0000 2019,https://twitter.com/i/web/status/1112027690490626048,False
"Creo que allá por donde paso, siempre hay gente que me acaba odiando.",Sat Mar 30 16:23:26 +0000 2019,,False
"@moasworld Me paso! Los encontré en medio de una pelea horrible y no podía separarlos, se hicieron mucho daño! Desde ese día los separé",Sat Mar 30 16:41:44 +0000 2019,,False
"Parece que pasó la tormenta 😊 aunque he de decir que no me gusta que se hagan daño aposta, eso de los celos... 🙄… https://t.co/9bUpQF1g8l",Sat Mar 30 17:16:47 +0000 2019,https://twitter.com/i/web/status/1112040989768732673,False
Solíamos ser amigas y ya no más.. no entiendo lo que pasó ❄️,Sat Mar 30 18:01:59 +0000 2019,,False
"Yo sé cómo pasó, Esa distancia que teníamos, lentamente estaba matandonos. si hay un culpable aquí somos los dos.🎶",Sat Mar 30 18:33:08 +0000 2019,,False
"Quisiera creer que nada pasó, que podemos volver y salvar este amor, yo te hice sufrir pero no fue mi intención",Sat Mar 30 19:22:38 +0000 2019,,False
—Se va a cabrear y se va a llevar el corazón de cierta persona a este paso—,Sat Mar 30 20:08:54 +0000 2019,,False
"Mi amistad con mi mejor amiga se está volviendo muy tóxica, me alejaré como lo he hecho siempre. A este paso termin… https://t.co/SCE1gfbtbK",Sat Mar 30 20:54:48 +0000 2019,https://twitter.com/i/web/status/1112095854964498433,False
"Entiendo q sean la familia mas unida q exista en el mundo, pero no todos tenemos la culpa de la mierda q paso, si?",Sat Mar 30 22:53:53 +0000 2019,,False
"Yo sé cómo pasó, esa distancia que teníamos, lentamente estaba matandonos",Sat Mar 30 23:38:20 +0000 2019,,False
"Con mis amigas cortamos toda relación con la joda, que nos paso!!",Sat Mar 30 23:44:27 +0000 2019,,False
"Anoche le pedi con lagrimas en los ojos a una ""amiga"" que nos quedemos juntas porque paso una situacion de mierda y… https://t.co/rcNWPFc8u4",Sat Mar 30 23:55:09 +0000 2019,https://twitter.com/i/web/status/1112141243319046146,False
Soy lesbiana no me afecta pero mE PREGUNTO PORQUÉ que se les pasó por la cabeza nopuedeser los odio y los amo https://t.co/ZytE9t5r9y,Sun Mar 31 00:55:01 +0000 2019,https://twitter.com/whattheboyz/status/1112031254499782656,False
"Por favor RT, no queremos que a nadie le pase lo que nos pasó a nosotros este verano. Dejamos a nuestra perrita de… https://t.co/g542EBsHKJ",Sun Mar 31 00:54:56 +0000 2019,https://twitter.com/i/web/status/1112156286471360518,False
"Y así como le pasó a esta chica, le podía pasar a mi amiga!! No estamos solas, ESTAMOS JUNTAS Y MAS FUERTES  QUE NU… https://t.co/L8BhmD6CSy",Sun Mar 31 01:14:10 +0000 2019,https://twitter.com/i/web/status/1112161127675412482,False
Porfa si van a tirar la de humo antes de salir AVISANME ANTES DE ESTAR LISTA. Y de paso dejen de ser mis amigas,Sun Mar 31 01:31:42 +0000 2019,,False
Lo sé. Pero gestionar esto se me está dando fatal... Y siento que hiero a quienes menos deseo herir. —Se pasó las m… https://t.co/qdT3RgE82E,Sun Mar 31 03:04:44 +0000 2019,https://twitter.com/i/web/status/1112188951257927681,False
bueno gente y ahora q paso xq todos se odian q andan tirando mas indirectas d lo normal???????? no se maten tpwk 😠,Sun Mar 31 03:30:22 +0000 2019,,False
"Como me gustaria que se queden a pollerear conmigo , lastima que nunca me paso😣",Sun Mar 31 03:44:34 +0000 2019,,False
"Tú no tienes la culpa de lo que aquí paso, se me fue de las manos comencé a sentir amor, ya lo nuestro funcionaba s… https://t.co/ljrrbR0Lff",Sun Mar 31 03:59:18 +0000 2019,https://twitter.com/i/web/status/1112202684252254208,False
"Hola @panchitas
Siento mucho lo que pasó. Entiendo que usted trabaja para la bondad. Por favor, nunca se rinda",Sun Mar 31 06:53:55 +0000 2019,,False
traten de darle amor a las 2 por más de que no sepan que paso,Sun Mar 31 06:52:31 +0000 2019,,False
"Queres estár enojada conmigo? Bien, yo no me voy a volar la cabeza por algo que no paso ni fue malo xq hablar lo hacemos todos",Sun Mar 31 06:58:48 +0000 2019,,False
Me junte con dos amigas despues de meses sin querer verlas y cada vez compruebo mas que la paso mejor sola tirada en la cama que con gente,Sun Mar 31 09:51:26 +0000 2019,,False
"Yo sé cómo pasó, esta distancia que teníamos, lentamente estaba matándonos, si hay un culpable aquí somos los dos pero él no,,,,",Sun Mar 31 11:35:34 +0000 2019,,False
Yo no puedo creer que esté enojada y me sienta mal por lo que pasó EN UN SUEÑO,Sun Mar 31 14:23:41 +0000 2019,,False
"Dejen de joder con lo que pasó. Estuvo mal lo que hicieron los chicos, pero se disculparon y ahora solo hay que esp… https://t.co/PlzaL1Esb3",Sun Mar 31 15:35:55 +0000 2019,https://twitter.com/i/web/status/1112377995208081408,False
"este paso del amor al odio y del odio al amor me está poniendo mal, vos me estas poniendo mal",Sun Mar 31 16:49:29 +0000 2019,,False
Yo les juro que no odio a nadie. PERO MARX ES LO PEOR QUE LE PASÓ AL MUNDO LES JURO. LO ODIO CON TODO MI CORAZÓN,Sun Mar 31 17:38:46 +0000 2019,,False
"Mi mejor amigo es lo mejor que me pasó, pero a veces lo odio tanto, alta relación de amor-odio.",Sun Mar 31 17:57:45 +0000 2019,,False
"Les puedo perdonar cualquier cosa, pero que traten de perjudicar y hacer daño a mi mamá, eso si que no les paso",Sun Mar 31 18:23:29 +0000 2019,,False
"Yo sé cómo paso
Esa distancia que teníamos
Lentamente estaba matándonos
Si hay un culpable aquí, somos los 2
Pero ella no...🎶🎵",Sun Mar 31 19:08:04 +0000 2019,,False
Eramos tan unidos por que ahora nos tratamos como desconocidos? Que paso?.,Sun Mar 31 19:17:24 +0000 2019,,False
