Tweets,Fecha,urls,medios
a este paso Luca mata a River antes de que llegue la trama de mañana ajajdksks ||,Sat Mar 30 03:42:44 +0000 2019,,False
@petrogustavo Meter billetes en una bolsa...no sé ve bien... Té hace perder credibilidad. Y eso pasó con usted.,Sat Mar 30 04:50:54 +0000 2019,,False
"@AMoranOficial Ale te lo robo y te los paso los.datos si alguien me contacta, nos conocimos en QRO hace un rato.
Buen viaje.",Sat Mar 30 05:30:16 +0000 2019,,False
@abelgilvonio @Vero_Mendoza_F Que hable de su viejo. Y de  las agendas de paso.,Sat Mar 30 05:59:34 +0000 2019,,False
"Ahora que el dólar se convirtió en “dinero fiduciario”, su valor pasó a estar estimado no únicamente en los depósit… https://t.co/XzG2WhYp5G",Sat Mar 30 08:12:00 +0000 2019,https://twitter.com/i/web/status/1111903890457411584,False
"El que avisa no traiciona, paso previo al corralito los bancos pueden usar el total de los depósitos en pesos para… https://t.co/BdTCgmBnmE",Sat Mar 30 09:51:08 +0000 2019,https://twitter.com/i/web/status/1111928838286651392,False
que le paso a la cuenta de daiana,Sat Mar 30 11:34:48 +0000 2019,,False
"@vaquitatuitera Claro, está semana paso por el banco y lo deposito.",Sat Mar 30 12:12:18 +0000 2019,,False
"@obarula @elalexgoncalves Dinero nuestro, de paso 😏",Sat Mar 30 12:21:13 +0000 2019,,False
@Paskve Lo reconozco. Al menos ese el primer paso. Jaja,Sat Mar 30 13:39:04 +0000 2019,,False
@ItsJ_hoseok @BTS_twt Aca lo tenes al bombón (de paso em quedo robando) https://t.co/Obw20zl0ZX,Sat Mar 30 13:43:49 +0000 2019,,False
"Oye como paso mi dinero de sweetcoins a paypal....porque no tengo ni idea?
Please.",Sat Mar 30 14:42:28 +0000 2019,,False
"y vende barato,
cualquier cosa paso número al priv",Sat Mar 30 14:38:01 +0000 2019,,False
